	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000272668_AL590560.2"	4.00	1.00	4.00	2.00
"ENSG00000272669_AL021707.6"	4.00	3.00	4.00	5.00
"ENSG00000272672_AL391497.1"	0.00	0.00	0.00	0.00
"ENSG00000272674_PCDHB16"	4.00	4.21	3.00	4.38
"ENSG00000272676_AP001521.1"	0.00	0.00	0.00	0.00
"ENSG00000272677_AC124016.1"	5.00	4.00	7.00	4.00
"ENSG00000272678_AC112503.1"	0.00	0.00	2.00	0.00
"ENSG00000272679_AL355987.2"	0.00	0.00	0.00	0.00
"ENSG00000272681_FAM223B"	1.50	0.50	1.00	1.50
"ENSG00000272682_AC004471.2"	2.00	0.00	0.00	1.00
"ENSG00000272685_AP004247.4"	0.00	0.00	0.00	0.00
"ENSG00000272686_AC006333.2"	21.00	27.00	25.00	29.00
"ENSG00000272688_AP005329.3"	5.00	3.00	3.00	6.00
"ENSG00000272689_AC004832.4"	1.00	1.00	1.00	1.00
"ENSG00000272690_LINC02018"	1.00	1.00	1.00	1.00
"ENSG00000272691_AC092807.2"	0.00	1.00	0.00	2.00
"ENSG00000272692_AC010997.4"	1.00	0.00	0.00	0.00
"ENSG00000272693_AC073107.1"	0.00	0.00	0.00	0.00
"ENSG00000272694_Z94160.2"	0.00	2.00	1.00	2.00
"ENSG00000272695_GAS6-AS2"	6.00	5.00	5.00	7.00
"ENSG00000272696_AL359091.3"	1.00	1.00	2.00	0.00
"ENSG00000272699_AC007620.3"	0.00	0.00	0.00	0.00
"ENSG00000272701_AC007938.4"	1.00	0.00	2.00	0.00
"ENSG00000272702_AC010913.1"	2.00	3.00	3.00	6.00
"ENSG00000272703_AP005137.2"	0.00	0.00	0.00	0.00
"ENSG00000272707_AC046143.2"	0.00	0.00	0.00	0.00
"ENSG00000272710_AC133041.1"	0.00	0.00	0.00	0.00
"ENSG00000272711_AC019069.1"	22.00	12.00	27.00	26.00
"ENSG00000272714_AL139098.2"	0.00	0.00	0.00	0.00
"ENSG00000272715_AL157904.1"	0.00	0.00	0.00	0.00
"ENSG00000272716_AL121658.1"	2.00	2.00	1.00	0.00
"ENSG00000272717_AC112236.2"	1.00	2.00	1.00	3.00
"ENSG00000272719_AC006483.2"	0.00	0.00	0.00	0.00
"ENSG00000272720_AL022322.1"	13.00	11.00	8.00	14.00
"ENSG00000272721_AC131235.3"	1.00	0.00	0.00	0.00
"ENSG00000272724_OR7E47P"	0.00	0.00	0.00	0.00
"ENSG00000272727_LINC02266"	0.00	0.00	0.00	0.00
"ENSG00000272729_AC009336.1"	0.00	0.00	0.00	0.00
"ENSG00000272732_AC004982.1"	1.00	1.00	0.00	0.00
"ENSG00000272733_AP000345.2"	0.00	0.00	0.00	0.00
"ENSG00000272734_ADIRF-AS1"	30.39	31.54	62.08	83.83
"ENSG00000272735_AC007881.3"	0.00	0.00	0.00	0.00
"ENSG00000272736_AC005323.2"	0.00	0.00	0.00	0.00
"ENSG00000272741_AC069257.3"	0.00	0.00	0.00	0.00
"ENSG00000272742_AC135457.1"	141.00	123.00	164.00	140.00
"ENSG00000272744_AC107214.2"	1.00	4.00	1.00	1.00
"ENSG00000272745_AC004948.1"	0.00	0.00	0.00	0.00
"ENSG00000272746_AP005131.7"	0.00	0.00	1.00	0.00
"ENSG00000272748_AC063962.1"	0.00	0.00	0.00	0.00
"ENSG00000272750_AL592148.3"	4.00	7.00	7.00	9.00
"ENSG00000272752_STAG3L5P-PVRIG2P-PILRB"	179.59	84.00	191.14	137.77
"ENSG00000272754_AL133245.1"	0.00	0.00	0.00	0.00
"ENSG00000272755_AC245297.2"	0.00	0.00	0.00	0.00
"ENSG00000272758_AC083798.2"	406.00	365.00	432.00	453.00
"ENSG00000272760_AC093726.1"	18.00	17.00	16.00	15.00
"ENSG00000272762_AC115284.1"	0.00	0.00	0.00	0.00
"ENSG00000272763_AC103702.2"	0.00	0.00	0.00	0.00
"ENSG00000272764_AL596094.1"	0.00	0.00	1.00	0.00
"ENSG00000272767_JMJD1C-AS1"	14.00	6.00	7.00	9.00
"ENSG00000272768_AC004854.2"	15.00	14.00	3.00	10.00
"ENSG00000272769_AC097532.2"	0.00	0.00	0.00	1.00
"ENSG00000272770_AC005696.2"	79.00	72.00	77.00	86.00
"ENSG00000272772_AC104109.3"	1.66	2.87	0.00	1.71
"ENSG00000272774_AC112219.2"	0.00	0.00	0.00	0.00
"ENSG00000272777_AC019131.2"	2.00	0.00	1.00	2.00
"ENSG00000272779_AC245060.4"	109.00	85.00	102.98	112.00
"ENSG00000272780_AC233702.10"	18.38	20.81	0.00	43.86
"ENSG00000272783_AC147067.2"	0.00	0.00	0.00	0.00
"ENSG00000272784_AC019193.2"	1.00	1.00	0.00	1.00
"ENSG00000272787_AC253536.6"	3.00	2.00	0.00	0.00
"ENSG00000272788_AP000864.1"	0.00	0.00	0.00	0.00
"ENSG00000272789_AC010976.2"	2.00	3.00	5.00	1.00
"ENSG00000272791_AC073389.3"	0.00	0.00	1.00	0.00
"ENSG00000272795_AC126283.1"	0.00	0.00	0.00	0.00
"ENSG00000272797_AC092954.1"	0.00	0.00	0.00	0.00
"ENSG00000272798_AL008721.1"	0.00	0.00	0.00	0.00
"ENSG00000272799_AC006238.1"	0.00	0.00	0.00	1.00
"ENSG00000272800_AC021851.1"	0.00	0.00	1.00	2.00
"ENSG00000272801_AC004080.5"	0.00	0.00	0.00	0.00
"ENSG00000272804_KRTAP10-7"	0.00	0.00	0.00	0.00
"ENSG00000272807_AC007038.2"	1.00	2.00	0.00	1.00
"ENSG00000272808_AC015712.6"	0.00	0.00	0.00	0.00
"ENSG00000272810_U91328.4"	0.00	0.00	0.00	0.00
"ENSG00000272812_AC004908.2"	3.37	2.51	2.00	3.87
"ENSG00000272814_AC093732.2"	0.00	0.00	0.00	0.00
"ENSG00000272815_AC098850.5"	0.00	0.00	0.00	0.00
"ENSG00000272817_AL359198.1"	0.00	0.00	0.00	0.00
"ENSG00000272821_U62317.3"	100.00	83.00	84.00	134.00
"ENSG00000272822_AC073610.3"	0.00	11.32	2.67	5.36
"ENSG00000272823_AL445423.1"	0.00	1.00	0.00	0.00
"ENSG00000272824_AC245100.7"	0.00	0.00	0.00	0.00
"ENSG00000272825_AL844908.1"	3.00	1.00	0.00	2.00
"ENSG00000272827_AL391813.2"	0.00	0.00	0.00	0.00
"ENSG00000272829_AC002470.1"	2.00	0.00	1.00	0.00
"ENSG00000272831_AC027644.3"	31.00	24.00	39.00	34.00
"ENSG00000272832_AC022296.3"	0.00	0.00	0.00	0.00
"ENSG00000272834_AL022238.3"	0.00	0.00	0.00	1.00
"ENSG00000272836_AL022328.1"	2.00	0.00	3.00	1.00
"ENSG00000272837_AC009779.7"	0.00	0.00	0.00	0.00
"ENSG00000272839_AC011899.3"	0.00	0.00	0.00	0.00
"ENSG00000272840_AC092902.3"	0.00	0.00	0.00	0.00
"ENSG00000272841_AL139393.2"	8.00	16.00	6.00	10.00
"ENSG00000272842_AL391834.1"	8.00	5.00	9.00	6.00
"ENSG00000272843_AC211476.2"	0.00	0.00	2.00	2.00
"ENSG00000272844_AC074044.1"	2.00	2.00	4.00	1.00
"ENSG00000272848_AL009176.1"	0.00	0.00	0.00	0.00
"ENSG00000272849_AC084018.1"	1.14	0.00	4.00	7.60
"ENSG00000272851_AC096772.1"	108.00	95.00	127.00	121.00
"ENSG00000272853_AC069544.1"	2.00	6.00	5.00	9.00
"ENSG00000272854_AC004839.1"	1.00	2.00	4.00	1.00
"ENSG00000272855_AC104458.1"	0.00	1.00	0.00	0.00
"ENSG00000272856_AC112250.2"	0.00	0.00	0.00	0.00
"ENSG00000272858_Z93930.3"	1.00	1.00	0.00	2.00
"ENSG00000272861_AC012360.2"	2.00	2.00	3.00	3.00
"ENSG00000272862_AC106052.1"	1.00	0.00	0.00	1.00
"ENSG00000272864_AC135803.1"	0.00	0.00	2.00	0.00
"ENSG00000272865_AL591686.2"	0.00	0.00	0.00	0.00
"ENSG00000272866_AL135786.2"	0.00	0.00	0.00	1.00
"ENSG00000272869_AC008575.2"	25.05	27.50	18.95	24.65
"ENSG00000272870_AC097534.2"	12.00	10.00	19.00	22.00
"ENSG00000272871_AL159169.2"	4.00	2.00	6.00	6.00
"ENSG00000272872_AP000525.1"	18.00	9.00	14.00	16.00
"ENSG00000272874_AL034548.1"	0.00	0.00	0.00	0.00
"ENSG00000272880_AL161734.1"	0.00	0.00	0.00	0.00
"ENSG00000272882_OR2BH1P"	0.00	0.00	0.00	0.00
"ENSG00000272884_AC113189.4"	0.00	1.50	0.00	3.50
"ENSG00000272885_AC092574.1"	0.00	0.00	0.00	0.00
"ENSG00000272886_DCP1A"	502.00	495.00	525.00	603.00
"ENSG00000272887_CSPG4P5"	0.00	0.00	3.31	0.00
"ENSG00000272888_LINC01578"	148.85	146.60	201.68	208.00
"ENSG00000272892_AL133551.1"	3.00	1.00	0.00	3.00
"ENSG00000272894_AC004982.2"	2.00	1.00	1.00	0.00
"ENSG00000272895_AC009303.3"	0.00	0.00	0.00	0.00
"ENSG00000272896_AL355987.3"	1.13	1.43	0.00	1.18
"ENSG00000272897_AL109827.1"	0.00	0.00	0.00	0.00
"ENSG00000272899_AC025594.2"	3.00	4.00	7.00	5.00
"ENSG00000272900_AP000435.2"	0.00	0.00	0.00	0.00
"ENSG00000272902_TBC1D8-AS1"	12.00	14.00	10.00	12.00
"ENSG00000272904_AL390726.3"	1.00	0.00	0.00	0.00
"ENSG00000272905_AC018648.1"	0.00	0.00	0.00	1.00
"ENSG00000272906_AL353708.3"	14.00	8.00	9.00	17.00
"ENSG00000272908_AC006033.2"	0.00	0.00	0.00	0.00
"ENSG00000272909_AL122035.2"	2.00	6.00	5.00	6.00
"ENSG00000272910_AC090425.2"	0.00	0.00	1.00	0.00
"ENSG00000272911_AC005696.3"	0.00	0.00	0.00	0.00
"ENSG00000272912_AL356608.1"	0.00	0.00	0.00	0.00
"ENSG00000272913_AC009237.14"	13.00	14.00	23.00	22.00
"ENSG00000272914_AL359532.1"	13.00	7.00	13.00	4.00
"ENSG00000272915_AC018635.2"	0.00	0.00	0.00	0.00
"ENSG00000272916_AC022400.6"	349.67	193.19	286.99	342.09
"ENSG00000272917_AC010186.4"	0.00	0.00	0.76	0.00
"ENSG00000272918_AC005070.3"	3.00	1.00	7.00	5.00
"ENSG00000272920_hsa-mir-1253"	0.00	0.00	0.00	0.00
"ENSG00000272921_AC005832.4"	42.92	21.93	29.40	30.84
"ENSG00000272922_AC107294.1"	0.00	0.00	0.00	0.00
"ENSG00000272923_AC092139.2"	0.00	0.00	2.02	0.00
"ENSG00000272927_AC107464.3"	0.00	0.00	0.00	3.00
"ENSG00000272931_AC099568.2"	1.00	0.00	1.00	1.00
"ENSG00000272933_AL391121.1"	54.00	40.00	43.00	44.00
"ENSG00000272934_AL390726.4"	0.00	0.00	0.00	0.00
"ENSG00000272936_AC096586.1"	3.00	2.00	3.00	6.00
"ENSG00000272937_AC009779.8"	0.00	0.00	0.00	0.00
"ENSG00000272940_U62317.4"	0.00	0.00	0.00	0.00
"ENSG00000272941_AC083862.2"	69.00	49.00	45.00	70.00
"ENSG00000272942_AL022324.3"	0.00	0.00	0.00	0.00
"ENSG00000272944_AC079834.2"	7.00	7.00	3.00	6.00
"ENSG00000272945_AL356299.2"	0.00	0.00	0.00	0.00
"ENSG00000272948_AP001412.1"	3.00	2.00	1.00	3.00
"ENSG00000272949_AC093668.2"	23.89	39.89	54.83	9.52
"ENSG00000272950_AC093799.2"	0.00	0.00	1.00	0.00
"ENSG00000272953_AC092171.4"	0.00	2.00	2.00	0.00
"ENSG00000272954_AP000553.1"	0.00	0.00	1.00	1.00
"ENSG00000272958_AP000322.2"	0.00	0.00	0.00	0.00
"ENSG00000272963_OR7A19P"	0.00	0.00	0.00	0.00
"ENSG00000272966_AC064836.2"	0.00	0.00	0.00	0.00
"ENSG00000272967_AC073352.2"	0.00	0.00	0.00	0.00
"ENSG00000272968_RBAK-RBAKDN"	0.00	0.00	0.00	3.08
"ENSG00000272969_AC024243.1"	0.00	0.00	2.00	0.00
"ENSG00000272970_AC107294.2"	0.00	0.00	0.00	0.00
"ENSG00000272971_AL365181.4"	0.00	0.00	0.00	0.00
"ENSG00000272973_AP000350.5"	1.00	1.00	0.00	0.00
"ENSG00000272975_MYHAS"	0.00	0.00	0.00	0.00
"ENSG00000272977_AL008721.2"	24.00	12.00	28.00	15.00
"ENSG00000272979_AC093388.1"	0.00	0.00	0.00	0.00
"ENSG00000272980_Z94721.2"	4.43	4.32	2.17	3.33
"ENSG00000272981_AP001993.2"	0.00	0.00	0.00	0.00
"ENSG00000272982_AL355816.1"	0.00	0.00	0.00	0.00
"ENSG00000272983_AL117339.4"	1.00	3.00	0.00	2.00
"ENSG00000272984_AC007349.4"	0.00	0.00	0.00	0.00
"ENSG00000272986_AC009570.1"	0.00	0.00	0.00	1.00
"ENSG00000272987_AP002512.3"	0.00	0.00	0.00	0.00
"ENSG00000272988_AC022392.1"	0.00	0.00	0.00	0.00
"ENSG00000272989_LINC02012"	0.00	0.00	0.00	0.00
"ENSG00000272990_AC084036.1"	0.00	1.00	0.00	1.00
"ENSG00000272991_AF129408.1"	1.00	0.00	1.00	3.00
"ENSG00000272993_AC239868.4"	5.00	2.00	6.00	14.00
"ENSG00000272994_AC012360.3"	13.00	12.00	19.00	16.00
"ENSG00000272995_AC097505.1"	0.00	0.00	0.00	0.00
"ENSG00000273000_AP000347.2"	72.10	18.47	64.08	51.51
"ENSG00000273001_AL731533.2"	3.00	1.00	3.00	3.00
"ENSG00000273002_AL355388.2"	4.00	4.00	6.00	6.00
"ENSG00000273003_ARL2-SNX15"	0.00	0.00	0.00	0.00
"ENSG00000273004_AL078644.1"	1.00	2.00	2.00	1.00
"ENSG00000273006_AC009229.3"	0.00	0.00	0.00	0.00
"ENSG00000273007_AC021205.3"	0.00	0.00	0.00	1.00
"ENSG00000273008_AC010864.1"	2.00	3.00	1.00	3.00
"ENSG00000273010_AL360270.3"	26.00	21.00	18.00	32.00
"ENSG00000273011_AC092681.3"	0.00	0.00	0.00	0.00
"ENSG00000273012_AL353600.1"	0.00	0.00	0.00	0.00
"ENSG00000273013_AC117490.2"	0.00	0.00	0.00	0.00
"ENSG00000273014_AC018645.2"	20.00	16.00	8.00	14.00
"ENSG00000273015_AC008124.1"	104.00	135.00	152.00	140.00
"ENSG00000273017_AP000240.1"	0.00	0.00	0.00	0.00
"ENSG00000273018_AC107983.2"	54.79	60.74	97.59	76.79
"ENSG00000273024_INTS4P2"	0.00	2.20	0.00	1.51
"ENSG00000273025_AC009690.3"	0.00	0.39	0.00	0.00
"ENSG00000273026_AL358472.3"	3.00	3.00	2.00	3.00
"ENSG00000273027_AL844908.2"	0.00	0.00	0.00	0.00
"ENSG00000273032_DGCR9"	0.00	0.00	0.00	0.00
"ENSG00000273033_LINC02035"	28.00	44.00	35.00	45.00
"ENSG00000273035_AC007684.1"	0.00	0.00	0.00	0.00
"ENSG00000273036_AL390726.5"	0.00	1.00	0.00	0.00
"ENSG00000273038_AL365203.3"	77.00	71.00	66.00	101.00
"ENSG00000273041_ATF4P2"	0.50	0.00	0.00	0.00
"ENSG00000273044_AL022334.2"	0.00	0.00	0.00	0.00
"ENSG00000273045_C2orf15"	0.00	0.00	2.00	1.00
"ENSG00000273046_AC012531.2"	0.00	0.00	0.00	0.00
"ENSG00000273047_AL121845.2"	0.84	4.66	0.00	1.41
"ENSG00000273049_AC012531.3"	0.00	0.00	0.00	0.00
"ENSG00000273051_AC103710.4"	0.00	0.00	0.00	0.00
"ENSG00000273055_AC005046.1"	12.00	9.00	22.00	32.00
"ENSG00000273056_AL354694.1"	0.00	1.00	0.00	1.00
"ENSG00000273058_AL359921.2"	0.00	0.00	1.00	1.00
"ENSG00000273059_AC239803.2"	0.00	0.00	0.00	0.00
"ENSG00000273061_CDC37L1-AS1"	1.00	2.00	2.00	2.00
"ENSG00000273062_AL449106.1"	5.00	1.00	1.00	0.00
"ENSG00000273063_AC007250.1"	0.00	0.00	0.00	0.00
"ENSG00000273064_AC017083.2"	0.00	0.00	0.00	3.00
"ENSG00000273066_AL355987.4"	8.10	4.98	6.19	10.17
"ENSG00000273068_Z99755.2"	0.00	0.00	0.00	0.00
"ENSG00000273069_AC211433.2"	0.00	0.00	0.00	0.00
"ENSG00000273071_AC242426.4"	0.78	7.34	6.05	9.40
"ENSG00000273073_AC073869.3"	6.00	0.00	2.00	10.00
"ENSG00000273076_AL021707.7"	0.00	0.00	0.00	0.00
"ENSG00000273077_AC110609.1"	0.00	0.00	0.00	0.00
"ENSG00000273079_GRIN2B"	0.00	0.00	1.00	0.00
"ENSG00000273080_AC009309.1"	10.00	3.00	3.00	6.00
"ENSG00000273082_Z73429.1"	0.00	0.00	0.00	0.00
"ENSG00000273084_AC092171.5"	10.00	5.00	3.00	10.00
"ENSG00000273085_AC113331.2"	0.00	0.00	0.00	0.00
"ENSG00000273088_AL713999.1"	0.00	0.00	0.00	0.00
"ENSG00000273090_AC007378.1"	60.00	53.00	55.00	57.00
"ENSG00000273091_AP000255.1"	0.00	0.00	0.00	0.00
"ENSG00000273093_AC097065.2"	0.00	0.00	0.00	0.00
"ENSG00000273096_AL021707.8"	0.00	0.00	0.00	0.00
"ENSG00000273098_AC005303.1"	0.00	0.00	0.00	0.00
"ENSG00000273100_AL596442.2"	0.00	0.00	0.00	0.00
"ENSG00000273102_AP000569.1"	0.00	3.00	2.00	1.00
"ENSG00000273104_AP000322.3"	0.00	0.00	0.00	1.00
"ENSG00000273106_AC019129.2"	0.00	0.00	0.00	0.00
"ENSG00000273107_AL512598.1"	0.00	0.00	0.00	0.00
"ENSG00000273108_AL121929.2"	1.00	0.00	0.00	0.00
"ENSG00000273110_AL162591.3"	96.00	108.00	100.00	102.00
"ENSG00000273111_LYPD4"	0.00	0.00	0.00	0.00
"ENSG00000273112_AL590385.2"	0.00	0.00	0.00	0.00
"ENSG00000273113_AC133528.1"	0.00	0.00	1.00	0.00
"ENSG00000273115_AP001596.2"	0.00	2.00	0.00	1.00
"ENSG00000273117_AC144652.1"	22.00	16.00	18.00	16.00
"ENSG00000273118_AC093865.1"	0.00	0.00	0.00	0.00
"ENSG00000273119_AP005229.2"	0.00	0.00	0.00	0.00
"ENSG00000273123_AC020634.1"	0.00	1.00	0.00	0.00
"ENSG00000273124_AL365434.2"	0.00	0.00	0.00	0.00
"ENSG00000273125_LINC01990"	0.00	0.00	0.00	0.00
"ENSG00000273129_PACERR"	1.00	1.00	2.00	3.00
"ENSG00000273132_AL355312.3"	0.00	2.00	4.00	6.00
"ENSG00000273133_AC116651.1"	3.00	0.00	0.00	0.00
"ENSG00000273136_NBPF26"	90.00	94.20	98.92	107.48
"ENSG00000273137_AL022328.2"	12.00	7.00	5.00	1.00
"ENSG00000273138_AC005021.1"	2.00	1.00	2.00	1.00
"ENSG00000273139_AC007663.3"	0.00	0.00	0.00	1.00
"ENSG00000273141_AP001269.4"	0.00	0.00	0.00	0.00
"ENSG00000273142_AC073335.2"	38.00	28.00	40.00	45.00
"ENSG00000273143_AL355512.1"	6.00	12.00	8.00	4.00
"ENSG00000273145_BX537318.1"	10.00	8.00	9.00	8.00
"ENSG00000273148_AL035563.1"	4.00	3.00	1.00	4.00
"ENSG00000273149_AL138963.3"	426.00	369.00	430.00	447.00
"ENSG00000273151_AC073957.3"	103.00	46.00	98.00	94.00
"ENSG00000273153_AC067747.1"	0.00	0.00	0.00	0.00
"ENSG00000273154_AL121845.3"	56.38	49.33	25.32	64.30
"ENSG00000273155_AC092587.1"	4.81	2.03	4.24	0.00
"ENSG00000273156_AC124016.2"	0.00	0.00	1.00	0.00
"ENSG00000273160_AL359962.2"	0.00	0.00	0.00	0.00
"ENSG00000273162_AL133215.2"	0.00	3.00	0.00	0.00
"ENSG00000273164_DGCR10"	0.00	0.00	0.00	0.00
"ENSG00000273165_AL121652.1"	0.00	0.00	0.00	0.00
"ENSG00000273167_AL359736.1"	0.00	0.00	0.00	0.00
"ENSG00000273171_AC002094.3"	0.00	0.00	0.00	0.00
"ENSG00000273172_LINC02091"	0.00	0.00	0.00	0.00
"ENSG00000273173_SNURF"	34.21	34.62	51.97	53.15
"ENSG00000273174_AC108673.2"	4.00	5.00	3.00	5.00
"ENSG00000273175_BX323046.1"	0.00	0.00	0.00	0.00
"ENSG00000273176_AL008635.1"	0.00	0.00	0.00	0.00
"ENSG00000273177_AC092954.2"	0.00	0.00	0.00	0.00
"ENSG00000273179_AC092535.4"	0.00	0.00	0.00	0.00
"ENSG00000273180_AC019193.3"	0.00	0.00	0.00	1.00
"ENSG00000273181_AC131235.4"	1.00	0.00	0.00	0.00
"ENSG00000273183_AC093726.2"	1.00	1.00	1.00	1.00
"ENSG00000273184_AC010655.4"	10.65	0.00	0.00	0.00
"ENSG00000273186_AL359091.4"	4.00	5.00	5.00	7.00
"ENSG00000273188_AL022328.3"	4.00	0.00	1.00	0.00
"ENSG00000273189_AC010619.2"	0.00	0.00	1.81	1.54
"ENSG00000273192_AL671710.1"	58.00	83.00	64.00	76.00
"ENSG00000273196_AC062037.2"	0.00	0.00	0.00	0.00
"ENSG00000273198_AL096803.3"	0.00	0.00	0.00	0.00
"ENSG00000273199_AP000692.2"	0.00	0.00	1.00	3.00
"ENSG00000273203_AC006946.2"	0.00	0.00	0.00	0.00
"ENSG00000273204_AC104506.1"	3.00	0.00	6.00	5.00
"ENSG00000273209_AC069148.1"	0.00	0.00	0.00	0.00
"ENSG00000273210_AP001437.1"	0.00	1.00	3.00	3.00
"ENSG00000273211_AC137630.4"	0.00	2.00	0.00	1.00
"ENSG00000273212_AC000068.2"	0.00	0.00	0.00	0.00
"ENSG00000273213_AC239798.4"	19.86	15.13	12.89	16.15
"ENSG00000273214_AL031587.4"	0.00	0.00	0.00	0.00
"ENSG00000273216_AC002059.1"	0.00	0.00	0.00	0.00
"ENSG00000273217_AC008695.1"	0.00	0.00	0.00	0.00
"ENSG00000273218_AC005776.2"	0.00	0.00	0.00	1.00
"ENSG00000273219_AC091736.1"	0.00	0.00	0.00	0.00
"ENSG00000273221_AL355816.2"	69.00	39.00	59.00	55.00
"ENSG00000273225_FAM25BP"	0.00	0.00	0.00	0.00
"ENSG00000273226_AL391834.2"	4.00	9.00	7.00	3.00
"ENSG00000273228_AP002826.1"	0.00	0.00	0.00	0.00
"ENSG00000273230_AC102953.2"	16.00	16.00	19.00	22.00
"ENSG00000273232_AC090912.3"	0.00	0.00	0.00	0.00
"ENSG00000273233_AC097724.1"	0.00	0.00	0.00	0.00
"ENSG00000273234_AC091768.1"	0.00	0.00	0.00	0.00
"ENSG00000273237_AC004520.1"	4.00	7.00	3.00	3.00
"ENSG00000273238_AC116565.1"	0.00	0.00	0.00	0.00
"ENSG00000273240_AC013468.1"	0.00	0.00	0.00	1.00
"ENSG00000273243_Z82243.1"	4.00	3.00	1.00	0.00
"ENSG00000273244_AC005301.1"	0.00	0.00	0.00	0.00
"ENSG00000273245_AC092653.1"	0.00	0.00	0.00	0.00
"ENSG00000273247_AC097376.2"	18.00	19.00	25.00	14.00
"ENSG00000273248_AC010997.5"	0.00	0.00	0.00	0.00
"ENSG00000273249_BX649632.1"	1.00	0.00	0.00	1.00
"ENSG00000273252_AC079882.1"	0.00	0.00	0.00	0.00
"ENSG00000273253_AL022328.4"	21.00	15.00	15.00	19.00
"ENSG00000273254_AF129075.2"	0.00	2.00	1.00	1.00
"ENSG00000273255_AP001521.2"	0.00	0.00	0.00	0.00
"ENSG00000273257_AC069200.1"	0.00	0.00	0.00	0.00
"ENSG00000273258_AC016737.2"	0.00	0.00	0.00	0.00
"ENSG00000273259_AL049839.2"	0.00	0.00	0.00	0.00
"ENSG00000273261_AC092953.2"	10.00	11.00	10.00	12.00
"ENSG00000273262_AL121928.1"	5.00	3.00	8.00	2.00
"ENSG00000273264_AL360219.1"	4.00	3.00	4.00	1.00
"ENSG00000273265_AC092636.1"	0.00	1.00	0.00	0.00
"ENSG00000273267_AC097381.3"	0.00	0.00	0.00	0.00
"ENSG00000273269_STPG4"	0.00	0.00	0.00	1.00
"ENSG00000273270_AC090114.2"	59.00	48.00	47.00	52.00
"ENSG00000273271_AP000254.1"	2.00	1.00	0.00	1.00
"ENSG00000273272_U62317.5"	0.00	0.00	0.00	1.00
"ENSG00000273274_ZBTB8B"	0.00	1.00	1.00	1.00
"ENSG00000273275_AC017083.3"	230.00	190.00	221.00	241.00
"ENSG00000273284_AP001033.2"	3.00	2.00	6.00	8.00
"ENSG00000273287_AL008718.2"	0.00	0.00	0.00	0.00
"ENSG00000273289_AL121672.3"	0.00	0.00	1.00	0.00
"ENSG00000273291_AC092042.3"	0.00	1.00	0.00	0.00
"ENSG00000273293_AC093458.1"	0.00	0.00	0.00	0.00
"ENSG00000273294_C1QTNF3-AMACR"	0.00	0.00	0.00	0.00
"ENSG00000273295_AP000350.6"	0.00	4.00	2.00	3.00
"ENSG00000273297_AC009275.1"	3.00	4.00	4.00	3.00
"ENSG00000273299_AC006153.1"	0.00	0.00	0.00	0.00
"ENSG00000273300_AC000068.3"	3.00	4.00	6.00	7.00
"ENSG00000273301_AC016717.2"	0.00	0.00	0.00	0.00
"ENSG00000273302_AC016747.3"	0.00	0.00	1.00	5.00
"ENSG00000273305_AC009237.15"	0.00	1.00	1.00	1.00
"ENSG00000273306_AC018690.1"	1.00	0.00	1.00	2.00
"ENSG00000273308_AC024560.3"	0.00	1.00	1.00	1.00
"ENSG00000273311_DGCR11"	33.00	21.00	25.00	28.00
"ENSG00000273312_AL121749.1"	0.00	1.00	1.00	3.00
"ENSG00000273313_RBAKDN"	0.00	1.00	0.00	0.00
"ENSG00000273314_AC005229.4"	30.00	55.00	33.00	60.00
"ENSG00000273319_AC058791.1"	0.00	0.00	0.00	0.00
"ENSG00000273320_AC007032.1"	4.00	5.00	4.00	4.00
"ENSG00000273321_AC023983.2"	0.00	1.00	0.00	0.00
"ENSG00000273325_AL008723.3"	0.00	0.00	0.00	0.00
"ENSG00000273327_OR6L2P"	0.00	0.00	0.00	1.00
"ENSG00000273328_AC099329.2"	0.00	0.00	0.00	0.00
"ENSG00000273329_AC078846.1"	17.00	5.00	16.00	22.00
"ENSG00000273330_CYP4F36P"	0.00	0.00	0.00	0.00
"ENSG00000273331_TM4SF19-TCTEX1D2"	0.00	0.00	0.00	1.00
"ENSG00000273333_AL662884.1"	0.00	0.00	0.00	0.00
"ENSG00000273335_AP005432.2"	0.00	3.00	1.00	3.00
"ENSG00000273336_OR7M1P"	0.00	0.00	0.00	0.00
"ENSG00000273338_AC103591.3"	0.00	0.00	1.00	0.00
"ENSG00000273340_MICE"	5.26	3.43	3.29	2.00
"ENSG00000273341_AC004921.1"	0.00	0.00	0.00	0.00
"ENSG00000273342_AP000553.2"	0.00	0.00	0.00	0.00
"ENSG00000273343_AC007663.4"	4.00	2.00	1.00	1.00
"ENSG00000273344_PAXIP1-AS1"	22.00	11.00	21.00	20.00
"ENSG00000273345_AC104109.4"	0.00	2.32	2.09	2.15
"ENSG00000273348_AC027449.1"	0.00	0.00	1.00	1.00
"ENSG00000273350_AC004832.5"	1.00	2.00	0.00	2.00
"ENSG00000273353_AL008718.3"	0.00	0.00	0.00	1.00
"ENSG00000273355_AP000894.4"	0.00	2.00	0.00	0.00
"ENSG00000273356_LINC02019"	1.00	0.00	1.00	2.00
"ENSG00000273360_AC022017.1"	0.00	0.00	0.00	0.00
"ENSG00000273361_AC021016.3"	5.00	3.00	2.00	1.00
"ENSG00000273362_AP000547.2"	0.00	0.00	0.00	0.00
