	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000010404_IDS"	823.33	744.98	806.55	863.36
"ENSG00000010438_PRSS3"	27.00	46.00	33.00	32.00
"ENSG00000010539_ZNF200"	109.00	85.00	118.00	111.00
"ENSG00000010610_CD4"	0.00	2.00	1.00	0.00
"ENSG00000010626_LRRC23"	46.10	53.00	53.37	70.92
"ENSG00000010671_BTK"	0.00	0.00	1.00	1.00
"ENSG00000010704_HFE"	168.00	125.00	164.00	162.00
"ENSG00000010803_SCMH1"	516.00	440.00	431.00	512.00
"ENSG00000010810_FYN"	1025.00	1075.00	1034.00	1309.00
"ENSG00000010818_HIVEP2"	190.00	136.00	145.00	210.00
"ENSG00000010932_FMO1"	0.00	0.00	0.00	0.00
"ENSG00000011007_ELOA"	937.00	857.00	811.00	1031.00
"ENSG00000011009_LYPLA2"	1113.00	1129.00	1045.00	1193.00
"ENSG00000011021_CLCN6"	395.85	275.97	342.96	364.90
"ENSG00000011028_MRC2"	1050.00	1273.00	1138.00	1516.00
"ENSG00000011052_NME1-NME2"	320.66	300.04	218.30	345.45
"ENSG00000011083_SLC6A7"	0.00	0.00	0.00	0.00
"ENSG00000011105_TSPAN9"	1614.00	1567.00	1503.00	1783.00
"ENSG00000011114_BTBD7"	658.00	706.00	632.00	782.00
"ENSG00000011132_APBA3"	260.00	210.00	199.00	270.00
"ENSG00000011143_MKS1"	117.00	103.00	110.00	134.00
"ENSG00000011198_ABHD5"	384.00	337.00	356.00	435.00
"ENSG00000011201_ANOS1"	11.00	3.00	4.00	5.00
"ENSG00000011243_AKAP8L"	533.00	473.00	483.00	541.00
"ENSG00000011258_MBTD1"	239.00	264.00	233.00	237.00
"ENSG00000011260_UTP18"	434.00	351.00	444.00	425.00
"ENSG00000011275_RNF216"	691.00	694.00	699.00	798.00
"ENSG00000011295_TTC19"	438.34	384.00	394.00	442.00
"ENSG00000011304_PTBP1"	3980.00	3747.00	3367.00	4150.00
"ENSG00000011332_DPF1"	11.00	9.00	10.00	12.00
"ENSG00000011347_SYT7"	0.00	2.00	0.00	0.00
"ENSG00000011376_LARS2"	339.00	286.00	308.00	315.00
"ENSG00000011405_PIK3C2A"	3037.00	2993.00	3058.00	3575.00
"ENSG00000011422_PLAUR"	458.00	388.00	357.00	428.00
"ENSG00000011426_ANLN"	834.00	1041.00	1018.00	965.00
"ENSG00000011451_WIZ"	973.00	921.00	774.00	1034.00
